epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,238.44,1.14528,0.84593,1.31602,0.98275,0.98281,0.98217,0.80499,0.673,0.4551,1.00471,0.0015941,0.0015941,0.0015941
43,244.037,1.08393,0.82398,1.28351,0.97996,0.98088,0.98527,0.80856,0.73221,0.43501,1.01571,0.0015842,0.0015842,0.0015842
44,249.659,1.11502,0.8139,1.28731,0.9847,0.98854,0.98862,0.7761,0.85285,0.44383,1.04753,0.0015743,0.0015743,0.0015743
45,255.192,1.11364,0.84597,1.30156,0.98571,0.98799,0.98366,0.78771,0.77683,0.43647,1.02704,0.0015644,0.0015644,0.0015644
46,260.74,1.10525,0.85182,1.28917,0.98204,0.98854,0.98767,0.80316,0.75699,0.43588,1.02288,0.0015545,0.0015545,0.0015545
47,266.272,1.08885,0.81941,1.27137,0.98848,0.98347,0.9868,0.79225,0.80088,0.44866,1.03655,0.0015446,0.0015446,0.0015446
48,271.818,1.07617,0.82687,1.29435,0.98853,0.98801,0.99271,0.77605,0.84822,0.43709,1.03205,0.0015347,0.0015347,0.0015347
49,277.355,1.05377,0.81104,1.27134,0.97109,0.97994,0.98522,0.83234,0.62605,0.40204,0.98601,0.0015248,0.0015248,0.0015248
50,282.975,1.079,0.79744,1.27965,0.98979,0.98281,0.98337,0.71784,1.03242,0.48293,1.10128,0.0015149,0.0015149,0.0015149
51,288.504,1.06294,0.80193,1.27517,0.98541,0.98281,0.98779,0.81487,0.72529,0.41223,1.00324,0.001505,0.001505,0.001505
52,294.049,1.05926,0.79498,1.24913,0.99137,0.9873,0.98914,0.83514,0.67723,0.40644,0.9868,0.0014951,0.0014951,0.0014951
53,299.65,1.06203,0.80569,1.27897,0.98339,0.98854,0.9904,0.8027,0.77782,0.41004,1.02218,0.0014852,0.0014852,0.0014852
54,305.181,1.05166,0.7835,1.26625,0.99136,0.9867,0.99207,0.83878,0.67635,0.37738,0.98305,0.0014753,0.0014753,0.0014753
55,310.8,1.0533,0.78198,1.27109,0.98567,0.98569,0.99154,0.77896,0.83973,0.43336,1.05339,0.0014654,0.0014654,0.0014654
56,316.337,1.03632,0.7782,1.25881,0.98932,0.98854,0.99013,0.7922,0.81324,0.42353,1.03089,0.0014555,0.0014555,0.0014555
57,321.882,1.02267,0.77245,1.2486,0.98548,0.98854,0.98874,0.83859,0.61174,0.38918,0.97674,0.0014456,0.0014456,0.0014456
58,327.432,1.02886,0.75627,1.25065,0.99068,0.98854,0.98972,0.80671,0.76093,0.399,1.00903,0.0014357,0.0014357,0.0014357
59,332.973,1.06381,0.76539,1.26921,0.98852,0.98714,0.98383,0.79677,0.78736,0.41635,1.02337,0.0014258,0.0014258,0.0014258
60,338.527,1.04563,0.77616,1.2643,0.98976,0.98854,0.98649,0.80839,0.74236,0.39777,1.01382,0.0014159,0.0014159,0.0014159
61,344.067,1.05286,0.74719,1.25895,0.98288,0.98718,0.9894,0.77103,0.83364,0.41186,1.03136,0.001406,0.001406,0.001406
62,349.618,1.06016,0.76125,1.26045,0.98843,0.98854,0.98887,0.82441,0.6943,0.40016,0.99523,0.0013961,0.0013961,0.0013961
63,355.143,1.03243,0.77032,1.26425,0.98741,0.98567,0.99031,0.83294,0.67611,0.38411,0.9865,0.0013862,0.0013862,0.0013862
64,360.681,1.03103,0.77476,1.25514,0.98564,0.98567,0.98019,0.84708,0.6068,0.37006,0.97399,0.0013763,0.0013763,0.0013763
65,366.295,1.03565,0.76467,1.25621,0.97522,0.97708,0.98603,0.82232,0.70532,0.39831,0.98288,0.0013664,0.0013664,0.0013664
66,371.84,1.01484,0.75159,1.23588,0.99421,0.9844,0.98618,0.84098,0.63665,0.38903,0.96971,0.0013565,0.0013565,0.0013565
67,377.371,1.02786,0.75789,1.24446,0.98851,0.98606,0.98956,0.84094,0.62106,0.37906,0.97474,0.0013466,0.0013466,0.0013466
68,382.92,1.00518,0.7432,1.23773,0.99423,0.98792,0.99105,0.85761,0.56375,0.35165,0.94996,0.0013367,0.0013367,0.0013367
69,388.533,1.00165,0.73706,1.2325,0.99371,0.98567,0.99159,0.83542,0.64745,0.36725,0.97512,0.0013268,0.0013268,0.0013268
70,394.08,0.99094,0.73225,1.22856,0.98851,0.98637,0.98525,0.84783,0.61668,0.36159,0.96638,0.0013169,0.0013169,0.0013169
71,399.613,1.03486,0.74546,1.23866,0.9901,0.98854,0.99048,0.81722,0.73633,0.37993,0.9825,0.001307,0.001307,0.001307
72,405.166,1.0022,0.74041,1.24295,0.99007,0.98854,0.99064,0.81076,0.72573,0.38098,0.98527,0.0012971,0.0012971,0.0012971
73,410.708,0.99077,0.71722,1.22797,0.98981,0.98854,0.99069,0.82594,0.67078,0.35832,0.97617,0.0012872,0.0012872,0.0012872
74,416.275,0.97862,0.73302,1.22302,0.98838,0.98854,0.99168,0.8571,0.56474,0.35852,0.96134,0.0012773,0.0012773,0.0012773
75,421.817,1.01477,0.7527,1.24897,0.98914,0.98854,0.99124,0.86675,0.56094,0.35554,0.95379,0.0012674,0.0012674,0.0012674
76,427.446,0.96817,0.73112,1.22077,0.98961,0.98567,0.99085,0.85826,0.59681,0.34528,0.94978,0.0012575,0.0012575,0.0012575
77,433.028,0.97941,0.7113,1.23362,0.99276,0.98854,0.99216,0.84421,0.63107,0.35515,0.95844,0.0012476,0.0012476,0.0012476
78,439.063,0.97891,0.71765,1.22116,0.98848,0.98355,0.99249,0.8575,0.58023,0.34977,0.95379,0.0012377,0.0012377,0.0012377
79,445.151,0.98366,0.72465,1.2261,0.99276,0.98567,0.99027,0.85669,0.60183,0.34605,0.96452,0.0012278,0.0012278,0.0012278
80,451.274,0.97957,0.7319,1.22761,0.99423,0.98813,0.99249,0.85977,0.58171,0.34519,0.94676,0.0012179,0.0012179,0.0012179
81,457.417,0.98121,0.72247,1.22755,0.99064,0.98854,0.99161,0.86304,0.57575,0.35133,0.94836,0.001208,0.001208,0.001208
82,463.612,0.96789,0.69455,1.21546,0.99348,0.98567,0.99145,0.83852,0.64183,0.3521,0.96918,0.0011981,0.0011981,0.0011981
83,469.437,0.96387,0.71052,1.21484,0.98491,0.98567,0.98609,0.84927,0.60454,0.35213,0.95053,0.0011882,0.0011882,0.0011882
84,475.219,0.94438,0.70052,1.20356,0.98807,0.98854,0.99077,0.85011,0.61048,0.35023,0.95165,0.0011783,0.0011783,0.0011783
85,481.384,0.9798,0.69763,1.22763,0.99424,0.98844,0.99089,0.85887,0.59786,0.34145,0.9563,0.0011684,0.0011684,0.0011684
86,487.469,0.96288,0.70836,1.2065,0.99378,0.98854,0.99214,0.85422,0.59376,0.34578,0.94578,0.0011585,0.0011585,0.0011585
87,493.556,0.95616,0.69838,1.20635,0.98971,0.98854,0.99077,0.87478,0.53754,0.32768,0.93939,0.0011486,0.0011486,0.0011486
