epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1599.6,0.98207,0.79076,1.16013,0.9837,0.95173,0.96809,0.83587,0.60996,0.38339,0.94225,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1649.36,0.96702,0.76728,1.15311,0.98151,0.9506,0.96797,0.81962,0.64694,0.39643,0.93968,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1699.07,0.98585,0.78318,1.16106,0.98424,0.94659,0.97164,0.8177,0.66087,0.38422,0.93992,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1748.77,0.95744,0.7721,1.15093,0.97397,0.94923,0.96886,0.82334,0.63277,0.38451,0.93864,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1798.54,0.9562,0.76636,1.14566,0.98207,0.94687,0.96839,0.83454,0.6047,0.37526,0.92832,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1848.35,0.95193,0.76679,1.155,0.98034,0.94922,0.96909,0.84759,0.57041,0.37691,0.92366,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1898.13,0.94744,0.7535,1.1434,0.98541,0.94633,0.97165,0.84819,0.58099,0.37608,0.9227,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1948.02,0.94802,0.7664,1.143,0.98543,0.94787,0.97125,0.84569,0.57062,0.3616,0.91971,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1997.83,0.9325,0.74432,1.13398,0.98143,0.94822,0.97197,0.84836,0.5768,0.36229,0.92114,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,2047.91,0.94091,0.75491,1.14096,0.98559,0.94569,0.97235,0.84707,0.56926,0.36699,0.92036,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,2098.16,0.92569,0.74363,1.13359,0.98141,0.95439,0.97149,0.84598,0.58769,0.35067,0.92363,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2148.25,0.91984,0.74169,1.13055,0.98358,0.95473,0.97024,0.8425,0.58429,0.35536,0.92276,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2198.89,0.92073,0.73487,1.13495,0.99099,0.94967,0.97155,0.84487,0.58502,0.35297,0.91849,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2249.47,0.9206,0.74092,1.13365,0.98124,0.94912,0.96924,0.85354,0.5473,0.34392,0.91214,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2300,0.90369,0.72038,1.12055,0.98693,0.9468,0.97034,0.85286,0.56463,0.3438,0.91295,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2350.49,0.91176,0.73851,1.12729,0.98564,0.94957,0.9723,0.84226,0.59361,0.34868,0.91894,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2409.39,0.89719,0.72097,1.11745,0.98676,0.95182,0.9738,0.8664,0.52891,0.33909,0.90212,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2474.33,0.89577,0.72168,1.11996,0.98691,0.94796,0.97469,0.87122,0.51051,0.33208,0.89613,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,2539.69,0.90135,0.72629,1.1184,0.98517,0.94828,0.97287,0.86581,0.51929,0.33657,0.89838,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2604.94,0.89443,0.71708,1.12177,0.98312,0.95234,0.97469,0.87409,0.50506,0.32685,0.89561,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2659.98,0.88788,0.71881,1.11685,0.98362,0.95226,0.97465,0.86841,0.52589,0.33114,0.89979,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2710.23,0.87404,0.70452,1.10957,0.98268,0.95186,0.97483,0.88044,0.47665,0.32351,0.89328,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,2763.88,0.88061,0.70701,1.10945,0.98106,0.95265,0.97408,0.87808,0.48288,0.32543,0.88969,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
