epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,149.51,0.69056,1.28901,0.00295,0.35769,1.06074,0.97697,0.98992,0.99408,0.79104,0.77043,0.78307,0.755,0.22146,0.76384,3.22621,0.00182,0.452,1.04903,0.0017426,0.0017426,0.0017426
28,154.961,0.68218,1.27348,0.00286,0.35909,1.042,0.99324,0.97933,0.99339,0.81294,0.71135,0.69333,0.65567,0.2028,0.73814,3.4428,0.00215,0.4463,1.02007,0.0017327,0.0017327,0.0017327
29,160.426,0.70976,1.23421,0.00236,0.36512,1.06697,0.98284,0.98333,0.99418,0.83565,0.79519,0.79667,0.73369,0.22072,0.65249,3.06778,0.00174,0.48742,0.97738,0.0017228,0.0017228,0.0017228
30,165.9,0.70629,1.24722,0.00247,0.3594,1.06665,0.96727,0.96,0.98722,0.82678,0.72243,0.71667,0.62372,0.1636,0.67239,3.50215,0.0016,0.48678,1.0059,0.0017129,0.0017129,0.0017129
31,171.347,0.68551,1.1812,0.00252,0.35761,1.03677,1,0.99247,0.995,0.81732,0.72641,0.72572,0.63089,0.18617,0.76174,3.48181,0.00327,0.45794,1.01909,0.001703,0.001703,0.001703
32,176.769,0.67559,1.12703,0.00213,0.35319,1.03507,0.97434,0.92,0.98058,0.83082,0.72731,0.68,0.645,0.17252,0.63923,3.28657,0.00233,0.64386,0.98265,0.0016931,0.0016931,0.0016931
33,182.257,0.67585,1.16794,0.00215,0.34976,1.03356,0.98343,0.98901,0.99416,0.80038,0.77788,0.79667,0.76877,0.22597,0.79822,3.05434,0.00138,0.46299,1.05053,0.0016832,0.0016832,0.0016832
34,187.762,0.67064,1.14469,0.00182,0.34098,1.03703,0.99664,0.98839,0.99451,0.79105,0.8286,0.82184,0.80405,0.25777,0.85833,2.99223,0.00139,0.46385,1.07627,0.0016733,0.0016733,0.0016733
35,193.155,0.66187,1.1051,0.00203,0.33768,1.03033,0.98671,0.98965,0.99378,0.77403,0.73069,0.73,0.68282,0.20995,0.89078,3.32956,0.00174,0.44774,1.10263,0.0016634,0.0016634,0.0016634
36,198.652,0.65664,1.10875,0.00222,0.33552,1.02245,1,0.99278,0.995,0.84508,0.61451,0.61,0.50087,0.16901,0.6972,3.79251,0.00155,0.50801,0.99618,0.0016535,0.0016535,0.0016535
37,204.04,0.64746,1.11619,0.00179,0.33368,1.01999,1,0.99981,0.995,0.73856,0.70975,0.71,0.62855,0.20551,1.01134,3.4541,0.00137,0.44654,1.1676,0.0016436,0.0016436,0.0016436
38,209.378,0.66402,1.10216,0.00178,0.33719,1.03252,1,0.99622,0.995,0.74379,0.667,0.66333,0.64161,0.18915,0.92526,3.55836,0.00125,0.43555,1.11048,0.0016337,0.0016337,0.0016337
39,214.798,0.67593,1.08801,0.00168,0.33494,1.03415,0.99009,0.99905,0.99483,0.84723,0.64857,0.65333,0.62769,0.1843,0.65803,3.67642,0.00125,0.4249,0.98527,0.0016238,0.0016238,0.0016238
40,220.228,0.65338,1.08203,0.002,0.33198,1.02454,0.98736,0.98333,0.9943,0.80558,0.59805,0.59667,0.45806,0.16991,0.83356,3.84998,0.00243,0.48915,1.06456,0.0016139,0.0016139,0.0016139
41,225.737,0.64913,1.01309,0.00132,0.3282,1.01928,0.98271,0.94713,0.98927,0.83433,0.56079,0.55333,0.44821,0.16467,0.68477,3.80483,0.00358,0.82951,1.00421,0.001604,0.001604,0.001604
42,231.153,0.63054,1.01998,0.00145,0.32879,1.01561,0.8028,0.84133,0.90069,0.74824,0.32647,0.35333,0.20587,0.07592,0.71369,4.70814,0.00548,0.99993,1.04523,0.0015941,0.0015941,0.0015941
43,236.53,0.63751,0.95346,0.00141,0.32939,1.01234,1,0.9928,0.995,0.84462,0.50871,0.51083,0.37622,0.16897,0.73584,3.76024,0.0037,0.46233,0.99957,0.0015842,0.0015842,0.0015842
44,241.937,0.66958,0.91892,0.00126,0.32755,1.01502,0.98152,0.97,0.99375,0.86368,0.63354,0.68,0.54592,0.18001,0.60835,3.68228,0.00092,0.56251,0.97299,0.0015743,0.0015743,0.0015743
45,247.314,0.6387,0.87009,0.00115,0.31806,1.00883,0.99665,0.99224,0.99493,0.86742,0.67526,0.67235,0.63111,0.2116,0.62058,3.69296,0.00096,0.44803,0.96884,0.0015644,0.0015644,0.0015644
46,252.718,0.64669,0.84705,0.00096,0.32296,1.00628,0.97254,0.98,0.99103,0.86635,0.59198,0.59667,0.45806,0.15977,0.61227,3.98705,0.00122,0.64026,0.9479,0.0015545,0.0015545,0.0015545
47,258.256,0.61785,0.82718,0.00104,0.31926,1.00435,0.99122,0.99,0.99483,0.8285,0.5959,0.6,0.42838,0.14941,0.70577,3.66176,0.00053,0.39972,0.99406,0.0015446,0.0015446,0.0015446
48,263.685,0.61683,0.7687,0.00111,0.31079,0.99121,0.98679,0.99582,0.99483,0.86264,0.67326,0.67998,0.63061,0.24298,0.62096,3.50585,0.00048,0.40923,0.96113,0.0015347,0.0015347,0.0015347
49,269.099,0.59977,0.74956,0.00104,0.31716,0.98066,1,0.99578,0.995,0.86782,0.57082,0.57667,0.44977,0.18572,0.63674,3.88189,0.00104,0.37397,0.97092,0.0015248,0.0015248,0.0015248
50,274.533,0.61012,0.77268,0.001,0.31181,0.99613,1,0.9963,0.995,0.88239,0.63093,0.63,0.49775,0.18545,0.58772,3.71106,0.00082,0.42306,0.95907,0.0015149,0.0015149,0.0015149
51,279.953,0.59057,0.74733,0.00088,0.30338,0.98184,0.99872,1,0.995,0.84863,0.56562,0.56667,0.46775,0.17842,0.69055,3.71709,0.00048,0.35436,0.97999,0.001505,0.001505,0.001505
52,285.327,0.59127,0.68786,0.00096,0.30512,0.98019,0.99288,0.99333,0.99487,0.86365,0.63666,0.63333,0.51111,0.17765,0.63524,3.60758,0.00092,0.41418,0.96852,0.0014951,0.0014951,0.0014951
53,290.75,0.6072,0.65507,0.00083,0.31023,0.99348,0.99336,0.9968,0.99497,0.82985,0.51589,0.51667,0.42818,0.17491,0.74282,3.84894,0.0013,0.39062,1.00177,0.0014852,0.0014852,0.0014852
54,296.19,0.58132,0.61205,0.00079,0.29608,0.96737,0.99668,0.99923,0.99497,0.82937,0.62441,0.6262,0.5344,0.22286,0.69943,3.40035,0.00054,0.38314,1.00363,0.0014753,0.0014753,0.0014753
55,301.629,0.59532,0.62982,0.0008,0.29935,0.98648,0.99663,0.98665,0.99483,0.86518,0.67264,0.66667,0.55208,0.22518,0.58455,3.19086,0.00029,0.45519,0.94971,0.0014654,0.0014654,0.0014654
