epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
111,861.914,0.62749,0.35751,0.00096,0.16817,0.01219,2.2838,0.97022,0.92333,0.98654,0.83944,0.85209,0.82333,0.86882,0.35245,0.67221,2.65392,0.00173,0.47365,0.01061,0,0.000911,0.000911,0.000911
112,869.678,0.56711,0.30678,0.0009,0.15726,0.01098,1.77958,0.94176,0.95667,0.98782,0.84648,0.82796,0.85,0.8903,0.36325,0.69336,2.78357,0.00159,0.33536,0.01115,0,0.0009011,0.0009011,0.0009011
113,877.547,0.54644,0.28519,0.00084,0.1488,0.01054,1.46969,0.91724,0.90667,0.9766,0.83361,0.83642,0.76698,0.87647,0.32894,0.69492,2.9346,0.00146,0.46443,0.01093,0,0.0008912,0.0008912,0.0008912
114,885.801,0.55932,0.32446,0.00087,0.15568,0.01087,1.79609,0.94897,0.93,0.98639,0.85223,0.83014,0.83082,0.87567,0.37866,0.64679,2.60089,0.00128,0.39084,0.01037,0,0.0008813,0.0008813,0.0008813
115,893.66,0.5771,0.31113,0.00086,0.15651,0.01133,1.72922,0.96512,0.87333,0.98166,0.79105,0.82146,0.74333,0.81163,0.32355,0.82704,2.79896,0.0013,0.69245,0.01305,0,0.0008714,0.0008714,0.0008714
116,901.315,0.55919,0.29306,0.00085,0.15531,0.01049,1.42116,0.97963,0.96174,0.99145,0.86415,0.839,0.85117,0.87052,0.3937,0.63226,2.46188,0.0011,0.27762,0.01051,0,0.0008615,0.0008615,0.0008615
117,908.997,0.55106,0.26694,0.00091,0.1535,0.0107,1.40655,0.972,0.92579,0.98731,0.83632,0.85547,0.82868,0.8995,0.39105,0.73602,2.52149,0.00117,0.3514,0.01189,0,0.0008516,0.0008516,0.0008516
118,916.636,0.55955,0.27069,0.00084,0.15327,0.01069,1.44019,0.96533,0.92824,0.9852,0.85495,0.84645,0.83667,0.899,0.40817,0.64093,2.4733,0.00116,0.40904,0.01046,0,0.0008417,0.0008417,0.0008417
119,924.368,0.56091,0.25136,0.00084,0.15154,0.01081,1.19084,0.97605,0.95099,0.98893,0.86182,0.81551,0.83987,0.86637,0.34855,0.63025,2.72584,0.00107,0.30567,0.01044,0,0.0008318,0.0008318,0.0008318
120,932.098,0.54092,0.22507,0.00084,0.15037,0.01039,1.02875,0.961,0.90333,0.98183,0.853,0.83297,0.77667,0.82181,0.32389,0.62775,2.77912,0.00117,0.4953,0.01059,0,0.0008219,0.0008219,0.0008219
121,939.797,0.54974,0.25366,0.00088,0.1501,0.01071,1.06836,0.93811,0.84333,0.96801,0.81464,0.79872,0.72751,0.78751,0.29295,0.7162,3.01282,0.00122,0.82093,0.01182,0,0.000812,0.000812,0.000812
122,947.526,0.52756,0.25673,0.00084,0.14942,0.01038,1.16009,0.96906,0.93952,0.98666,0.81932,0.87958,0.85215,0.86968,0.38314,0.75417,2.55098,0.00104,0.40172,0.01273,0,0.0008021,0.0008021,0.0008021
123,955.173,0.56675,0.27172,0.00083,0.15759,0.01095,1.36729,0.93185,0.91,0.9808,0.74079,0.83809,0.82823,0.83932,0.34017,1.01643,2.73481,0.00116,0.4783,0.01689,0,0.0007922,0.0007922,0.0007922
124,963.142,0.53497,0.22763,0.00152,0.15642,0.0102,0.86907,0.94853,0.92145,0.98407,0.84714,0.83537,0.81191,0.8087,0.31212,0.67144,2.70692,0.00099,0.48823,0.01114,0,0.0007823,0.0007823,0.0007823
125,970.847,0.56355,0.2176,0.00082,0.15677,0.01097,0.95215,0.97045,0.95,0.9895,0.82622,0.91169,0.89468,0.91214,0.37525,0.7287,2.34712,0.00092,0.39152,0.01189,0,0.0007724,0.0007724,0.0007724
126,978.649,0.55146,0.23185,0.00079,0.15119,0.01078,0.8941,0.96013,0.80268,0.962,0.77818,0.8764,0.73268,0.84315,0.31649,0.79186,2.56284,0.00095,0.89365,0.01349,0,0.0007625,0.0007625,0.0007625
127,986.464,0.57402,0.22165,0.00081,0.15504,0.01121,0.92733,0.94714,0.79,0.95571,0.81473,0.82513,0.69,0.81185,0.30718,0.64734,2.76681,0.00111,0.94423,0.01047,0,0.0007526,0.0007526,0.0007526
128,994.244,0.54751,0.21993,0.00082,0.14721,0.01061,1.01943,0.94794,0.91,0.98208,0.87269,0.85525,0.84691,0.88349,0.36186,0.5536,2.46756,0.00088,0.50625,0.0088,0,0.0007427,0.0007427,0.0007427
129,1001.94,0.54788,0.21115,0.00083,0.15202,0.01067,0.82532,0.95826,0.91839,0.98665,0.84323,0.90609,0.86839,0.92904,0.40516,0.66114,2.27803,0.00089,0.51399,0.01056,0,0.0007328,0.0007328,0.0007328
130,1009.73,0.53443,0.19527,0.00079,0.14626,0.01029,0.6338,0.93811,0.92667,0.98379,0.83635,0.84815,0.83781,0.88223,0.39625,0.66599,2.40659,0.00082,0.46436,0.01095,0,0.0007229,0.0007229,0.0007229
131,1017.44,0.56518,0.22877,0.00148,0.15819,0.01103,0.80764,0.95984,0.93,0.98426,0.83802,0.84062,0.81333,0.83381,0.35077,0.72199,2.67616,0.00085,0.45674,0.01174,0,0.000713,0.000713,0.000713
132,1025.14,0.56275,0.2237,0.00074,0.15952,0.01081,0.77392,0.95982,0.87587,0.9731,0.84446,0.86925,0.78,0.84983,0.34872,0.60681,2.65123,0.00099,0.69741,0.00994,0,0.0007031,0.0007031,0.0007031
133,1032.89,0.58333,0.22847,0.0008,0.16303,0.01108,0.87504,0.94585,0.91333,0.98372,0.86821,0.909,0.84,0.91409,0.42101,0.5731,2.29633,0.00074,0.44926,0.00921,0,0.0006932,0.0006932,0.0006932
134,1040.67,0.6463,0.20127,0.00074,0.17611,0.01222,0.6648,0.97056,0.879,0.98006,0.84147,0.92049,0.83,0.91335,0.41034,0.63628,2.34386,0.00073,0.61823,0.01056,0,0.0006833,0.0006833,0.0006833
135,1048.41,0.56105,0.20398,0.0008,0.15569,0.01073,0.74399,0.94371,0.91333,0.98049,0.85922,0.87539,0.82,0.87816,0.36259,0.59479,2.55339,0.00077,0.53095,0.00976,0,0.0006734,0.0006734,0.0006734
136,1056.26,0.54794,0.20466,0.00075,0.15241,0.01072,0.68934,0.96154,0.85667,0.97664,0.83565,0.85184,0.75667,0.79268,0.34169,0.66538,2.59108,0.00077,0.6091,0.01073,0,0.0006635,0.0006635,0.0006635
137,1063.93,0.52863,0.18781,0.00066,0.14427,0.01044,0.63162,0.6778,0.94667,0.90669,0.74658,0.60859,0.85,0.75883,0.30719,0.74756,2.668,0.00082,1.47832,0.01196,0,0.0006536,0.0006536,0.0006536
138,1071.64,0.53755,0.20009,0.00066,0.14968,0.0103,0.59759,0.9577,0.85667,0.98029,0.85506,0.88419,0.78894,0.87512,0.37972,0.60797,2.4848,0.00069,0.71769,0.00976,0,0.0006437,0.0006437,0.0006437
139,1079.43,0.53879,0.20063,0.00069,0.15007,0.01054,0.59133,0.96441,0.81283,0.97434,0.84487,0.87344,0.73616,0.86326,0.36276,0.64079,2.52636,0.00072,0.80602,0.0101,0,0.0006338,0.0006338,0.0006338
140,1087.17,0.57526,0.17977,0.00065,0.15502,0.01107,0.45764,0.94114,0.93,0.98367,0.86338,0.85062,0.8,0.85437,0.36006,0.60685,2.59507,0.00059,0.44504,0.00964,0,0.0006239,0.0006239,0.0006239
141,1094.9,0.51501,0.16075,0.00066,0.14854,0.01001,0.31182,0.95875,0.85219,0.97892,0.84825,0.85732,0.76108,0.84482,0.36324,0.64933,2.64678,0.00061,0.6772,0.01027,0,0.000614,0.000614,0.000614
142,1102.72,0.54482,0.16963,0.00066,0.1469,0.01057,0.48207,0.94484,0.85643,0.97113,0.82688,0.83076,0.75667,0.85078,0.33124,0.68562,2.76436,0.00062,0.69236,0.01089,0,0.0006041,0.0006041,0.0006041
143,1110.55,0.57361,0.17277,0.00063,0.15812,0.01105,0.48414,0.96871,0.90667,0.98681,0.82311,0.88147,0.83667,0.90873,0.37055,0.74709,2.57612,0.00051,0.48878,0.01211,0,0.0005942,0.0005942,0.0005942
144,1118.28,0.5805,0.15127,0.00063,0.15681,0.01132,0.42216,0.96782,0.87,0.97922,0.80946,0.84916,0.76333,0.8409,0.31387,0.75979,2.83304,0.00064,0.70078,0.0119,0,0.0005843,0.0005843,0.0005843
145,1126,0.57402,0.22387,0.00065,0.1527,0.01116,0.65001,0.97584,0.9425,0.98863,0.81989,0.89996,0.87667,0.92108,0.40888,0.76462,2.47208,0.00055,0.44678,0.01307,0,0.0005744,0.0005744,0.0005744
146,1133.74,0.56197,0.17921,0.00061,0.15298,0.0107,0.5501,0.94598,0.87561,0.97676,0.8591,0.86356,0.8017,0.87994,0.3487,0.59225,2.77648,0.00055,0.59067,0.00941,0,0.0005645,0.0005645,0.0005645
147,1141.48,0.63001,0.14401,0.00066,0.168,0.01207,0.27681,0.84463,0.85166,0.93806,0.73062,0.61174,0.90333,0.83146,0.35577,0.95179,2.69702,0.00056,1.13105,0.01648,0,0.0005546,0.0005546,0.0005546
148,1149.26,0.66005,0.16866,0.00057,0.17892,0.013,0.4362,0.66591,0.97667,0.93213,0.75371,0.61364,0.9,0.83579,0.35985,0.81105,2.65873,0.00063,1.30946,0.01338,0,0.0005447,0.0005447,0.0005447
149,1156.91,0.5834,0.13095,0.00057,0.15822,0.01104,0.31665,0.68471,0.97,0.93162,0.77959,0.62118,0.88,0.81894,0.32691,0.70476,2.6798,0.00065,1.43792,0.01104,0,0.0005348,0.0005348,0.0005348
150,1164.61,0.6345,0.16511,0.00058,0.16892,0.01216,0.35697,0.94923,0.81016,0.96301,0.79446,0.86721,0.74016,0.86045,0.354,0.7528,2.5551,0.00064,0.89378,0.01171,0,0.0005249,0.0005249,0.0005249
151,1172.4,0.56086,0.18553,0.00053,0.15109,0.01066,0.41326,0.95124,0.84533,0.97438,0.82817,0.87214,0.77307,0.87872,0.36838,0.66264,2.52809,0.00053,0.72633,0.01077,0,0.000515,0.000515,0.000515
152,1180.11,0.53755,0.22788,0.00052,0.14795,0.01039,0.69173,0.92689,0.76068,0.9462,0.80352,0.85291,0.69583,0.84392,0.38467,0.67636,2.42418,0.00052,0.9462,0.01081,0,0.0005051,0.0005051,0.0005051
153,1187.77,0.55626,0.24663,0.00056,0.16324,0.01072,0.91663,0.87161,0.87333,0.95192,0.83107,0.81505,0.81667,0.88934,0.35084,0.59436,2.49995,0.0005,0.65006,0.00971,0,0.0004952,0.0004952,0.0004952
154,1195.53,0.50843,0.15572,0.00058,0.1493,0.0099,0.24413,0.89191,0.79764,0.93898,0.82088,0.84692,0.75,0.87767,0.39121,0.61932,2.41046,0.00053,0.88912,0.00994,0,0.0004853,0.0004853,0.0004853
155,1203.18,0.59275,0.14167,0.00051,0.16433,0.01141,0.31294,0.95813,0.72,0.94915,0.8211,0.88716,0.66667,0.85207,0.33054,0.62318,2.59952,0.00053,1.14009,0.00996,0,0.0004754,0.0004754,0.0004754
156,1210.93,0.54554,0.1538,0.00053,0.14819,0.01053,0.19067,0.6435,0.95667,0.90734,0.78035,0.59641,0.88667,0.82234,0.33442,0.65254,2.66598,0.00056,1.61032,0.0108,0,0.0004655,0.0004655,0.0004655
157,1218.66,0.56075,0.13707,0.00049,0.15567,0.01087,0.46883,0.94508,0.74566,0.94306,0.8114,0.88303,0.67944,0.85858,0.42191,0.62299,2.2598,0.00056,1.1712,0.0099,0,0.0004556,0.0004556,0.0004556
158,1226.37,0.54767,0.1557,0.00052,0.14823,0.01045,0.23965,0.94387,0.61655,0.92751,0.80965,0.80721,0.65596,0.77429,0.29193,0.58753,2.75128,0.00055,1.27285,0.00945,0,0.0004457,0.0004457,0.0004457
159,1234.05,0.60081,0.13283,0.00048,0.16105,0.01098,0.1853,0.88732,0.69,0.89865,0.70926,0.78126,0.65481,0.78148,0.30059,0.83536,2.77406,0.00047,1.41678,0.01311,0,0.0004358,0.0004358,0.0004358
160,1241.88,0.8013,0.13864,0.00046,0.20434,0.01559,0.26938,0.68998,0.98667,0.9457,0.81782,0.72575,0.89091,0.88748,0.39378,0.61968,2.39306,0.00041,1.26272,0.00976,0,0.0004259,0.0004259,0.0004259
161,1249.61,0.61737,0.10307,0.00047,0.16855,0.01174,0.06208,0.85349,0.73789,0.90161,0.7651,0.82429,0.70333,0.8417,0.35285,0.65543,2.49096,0.00043,1.07613,0.01048,0,0.000416,0.000416,0.000416
162,1257.5,0.56926,0.12329,0.00045,0.15485,0.0109,0.19445,0.88281,0.77843,0.92506,0.78782,0.81837,0.72089,0.8131,0.28974,0.66788,2.83243,0.00046,0.97379,0.01085,0,0.0004061,0.0004061,0.0004061
163,1265.24,0.59931,0.15622,0.00043,0.16373,0.01186,0.43909,0.83969,0.83806,0.9289,0.79527,0.75787,0.78667,0.82781,0.3188,0.62918,2.7673,0.00045,1.32071,0.01015,0,0.0003962,0.0003962,0.0003962
164,1272.95,0.56587,0.21649,0.00041,0.1533,0.01076,1.11331,0.89478,0.8,0.93973,0.83206,0.84776,0.66825,0.81489,0.3205,0.56928,2.70287,0.00047,1.18113,0.00876,0,0.0003863,0.0003863,0.0003863
165,1280.62,0.51234,0.14218,0.00046,0.14661,0.00967,0.33225,0.66588,0.94333,0.91345,0.79771,0.59294,0.84,0.7997,0.32208,0.61478,2.73629,0.00047,1.51407,0.00944,0,0.0003764,0.0003764,0.0003764
166,1288.43,0.62149,0.1262,0.00042,0.17008,0.01182,0.12226,0.73214,0.95667,0.94264,0.81413,0.67092,0.87667,0.85455,0.35406,0.62961,2.71954,0.00048,1.40533,0.00984,0,0.0003665,0.0003665,0.0003665
167,1296.14,0.54346,0.11687,0.00042,0.15542,0.01044,0.16078,0.92883,0.73333,0.93592,0.7787,0.82772,0.65662,0.79535,0.30325,0.74133,2.93637,0.00045,1.1698,0.01207,0,0.0003566,0.0003566,0.0003566
168,1303.88,0.53801,0.11572,0.0004,0.1525,0.01025,0.25652,0.6576,0.96667,0.92281,0.79466,0.58957,0.86667,0.78639,0.32631,0.62485,2.83093,0.00048,1.55578,0.00979,0,0.0003467,0.0003467,0.0003467
169,1311.67,0.49351,0.10086,0.00042,0.13919,0.00933,0.15584,0.75472,0.93333,0.92486,0.80922,0.68464,0.84667,0.82455,0.32998,0.58221,2.7428,0.00045,1.69402,0.00906,0,0.0003368,0.0003368,0.0003368
170,1319.37,0.54423,0.08687,0.0004,0.14938,0.01073,0.06729,0.71883,0.98,0.9618,0.82681,0.66259,0.90333,0.87104,0.34514,0.63616,2.67944,0.00039,1.22909,0.01055,0,0.0003269,0.0003269,0.0003269
171,1327.02,0.53984,0.08956,0.00038,0.15262,0.01046,0.05873,0.74112,0.97333,0.95921,0.84364,0.66244,0.87,0.8527,0.34423,0.58939,2.74695,0.00044,1.30235,0.00908,0,0.000317,0.000317,0.000317
172,1334.82,0.54941,0.09212,0.00037,0.15318,0.01049,0.02491,0.70833,0.96333,0.9552,0.82623,0.74386,0.81316,0.81887,0.30537,0.64015,2.85741,0.00038,1.21294,0.01005,0,0.0003071,0.0003071,0.0003071
173,1342.49,0.50275,0.09275,0.00038,0.14138,0.00959,0.06242,0.96825,0.83333,0.9489,0.80646,0.60145,0.83,0.77799,0.2776,0.67455,2.97331,0.00035,1.23494,0.01087,0,0.0002972,0.0002972,0.0002972
174,1350.27,0.49395,0.10322,0.00033,0.13828,0.00951,0.14566,0.99149,0.82,0.96847,0.79246,0.85594,0.6932,0.82893,0.32783,0.80525,2.79711,0.00033,1.06422,0.01297,0,0.0002873,0.0002873,0.0002873
175,1358.08,0.54338,0.10649,0.00033,0.14747,0.01065,0.10858,0.9771,0.85331,0.97539,0.82823,0.824,0.71787,0.82324,0.30803,0.70479,2.91098,0.0003,0.82511,0.01152,0,0.0002774,0.0002774,0.0002774
176,1365.85,0.48863,0.09771,0.00031,0.13508,0.00935,0.0643,0.9446,0.8525,0.96418,0.80064,0.79409,0.71667,0.81423,0.303,0.76741,2.87655,0.00031,1.21262,0.01244,0,0.0002675,0.0002675,0.0002675
177,1373.54,0.46136,0.10165,0.00031,0.12896,0.00891,0.03936,0.7831,0.92667,0.92528,0.80314,0.6507,0.77,0.73619,0.24413,0.60616,3.18698,0.0003,1.69988,0.00932,0,0.0002576,0.0002576,0.0002576
178,1381.36,0.48492,0.08584,0.00029,0.13799,0.00907,0.00466,0.70048,0.96667,0.94072,0.80628,0.60386,0.83333,0.7729,0.28422,0.66523,2.96989,0.00029,1.44858,0.01052,0,0.0002477,0.0002477,0.0002477
179,1389.06,0.50646,0.07474,0.00027,0.13948,0.00955,0.01616,0.90572,0.83262,0.95001,0.79786,0.83723,0.66868,0.81742,0.31346,0.74944,2.86362,0.00028,1.1292,0.01187,0,0.0002378,0.0002378,0.0002378
180,1396.79,0.46593,0.07,0.00029,0.12831,0.0088,0.01279,0.81556,0.91667,0.95028,0.7958,0.72724,0.7732,0.8063,0.29973,0.72458,2.93433,0.00026,1.20659,0.01128,0,0.0002279,0.0002279,0.0002279
181,1404.46,0.46861,0.07103,0.00029,0.13127,0.00893,0.02799,0.69359,0.97333,0.93785,0.80298,0.60333,0.84667,0.77858,0.29379,0.65488,2.93393,0.00028,1.47483,0.01037,0,0.000218,0.000218,0.000218
182,1412.27,0.46743,0.08358,0.00027,0.13144,0.00884,0.05071,0.96055,0.73052,0.95805,0.82418,0.87851,0.65082,0.84571,0.32914,0.65083,2.75195,0.00026,1.06176,0.01039,0,0.0002081,0.0002081,0.0002081
183,1419.99,0.4342,0.07396,0.00026,0.122,0.00832,0.01501,0.95519,0.76,0.95915,0.83341,0.89627,0.69122,0.86166,0.33387,0.62545,2.67446,0.00024,1.05157,0.01045,0,0.0001982,0.0001982,0.0001982
184,1427.7,0.46839,0.07484,0.00024,0.1354,0.00888,0.03655,0.74413,0.95,0.93939,0.80564,0.68146,0.87,0.82074,0.32006,0.66198,2.79293,0.00026,1.44918,0.01084,0,0.0001883,0.0001883,0.0001883
185,1435.43,0.43418,0.06241,0.00023,0.12303,0.0082,0.00752,0.82853,0.88333,0.94079,0.78437,0.60497,0.89333,0.80696,0.31683,0.74929,2.79869,0.00026,1.21574,0.01227,0,0.0001784,0.0001784,0.0001784
186,1443.11,0.43018,0.0658,0.00023,0.12467,0.00808,0.00443,0.91082,0.82667,0.94063,0.8161,0.71081,0.78654,0.79406,0.3038,0.6279,2.89732,0.00025,1.19288,0.00999,0,0.0001685,0.0001685,0.0001685
187,1450.77,0.41865,0.06199,0.00021,0.11929,0.008,0.01109,0.95741,0.80667,0.95879,0.8273,0.79549,0.73333,0.82445,0.31374,0.63352,2.87277,0.00022,1.07558,0.0103,0,0.0001586,0.0001586,0.0001586
188,1458.54,0.43511,0.05709,0.0002,0.12298,0.00829,0.01287,0.87513,0.8877,0.95723,0.83001,0.71368,0.80333,0.82895,0.32672,0.63174,2.81777,0.00022,1.1449,0.00992,0,0.0001487,0.0001487,0.0001487
189,1466.21,0.43071,0.05921,0.0002,0.12124,0.00806,0.00032,0.95822,0.76445,0.95658,0.81869,0.8247,0.72135,0.83469,0.32498,0.6743,2.83243,0.00021,1.02367,0.01075,0,0.0001388,0.0001388,0.0001388
190,1473.89,0.41421,0.05932,0.00018,0.11899,0.00788,0,0.89805,0.82212,0.94635,0.81119,0.60177,0.90667,0.81341,0.30985,0.67159,2.84268,0.00021,1.21918,0.01096,0,0.0001289,0.0001289,0.0001289
191,1482.35,0.40834,0.05182,0.0002,0.11807,0.00767,0.00241,0.71117,0.97667,0.95298,0.83906,0.65534,0.9,0.84961,0.33203,0.60149,2.7406,0.00021,1.24734,0.00952,0,0.000119,0.000119,0.000119
192,1490.14,0.39821,0.05478,0.00019,0.11312,0.00747,0,0.70096,0.97667,0.95101,0.82991,0.64593,0.9,0.84556,0.33517,0.62831,2.74857,0.00021,1.24633,0.01002,0,0.0001091,0.0001091,0.0001091
193,1497.83,0.39923,0.05231,0.00018,0.1139,0.00766,0.01285,0.69048,0.96667,0.94099,0.80592,0.62619,0.87667,0.81945,0.32813,0.6631,2.8117,0.0002,1.38047,0.01068,0,9.92e-05,9.92e-05,9.92e-05
194,1505.65,0.40565,0.04766,0.00018,0.11613,0.0076,0,0.68545,0.97333,0.94706,0.81804,0.62207,0.88333,0.81815,0.32913,0.64885,2.78504,0.00019,1.32186,0.01033,0,8.93e-05,8.93e-05,8.93e-05
195,1513.3,0.39915,0.0558,0.00017,0.11606,0.00761,0.00326,0.87413,0.85,0.95213,0.82986,0.74158,0.82265,0.8449,0.33872,0.62812,2.75116,0.00019,1.19434,0.00996,0,7.94e-05,7.94e-05,7.94e-05
196,1521.06,0.38802,0.05208,0.00018,0.1125,0.00739,0.01081,0.69451,0.97,0.94471,0.82575,0.63723,0.89,0.83972,0.33665,0.61758,2.75602,0.00019,1.28771,0.00979,0,6.95e-05,6.95e-05,6.95e-05
197,1528.82,0.3912,0.05325,0.00017,0.11246,0.00748,0,0.68065,0.97333,0.94706,0.82228,0.62238,0.89,0.83442,0.335,0.63317,2.75312,0.00019,1.28177,0.01021,0,5.96e-05,5.96e-05,5.96e-05
198,1536.53,0.38546,0.04452,0.00017,0.11277,0.00731,0,0.68235,0.96667,0.93955,0.82184,0.62353,0.88333,0.82531,0.3287,0.61626,2.76388,0.00019,1.3365,0.00987,0,4.97e-05,4.97e-05,4.97e-05
199,1544.2,0.37368,0.05268,0.00016,0.1099,0.00709,0,0.70146,0.96333,0.93937,0.81723,0.63835,0.87667,0.82003,0.32592,0.64099,2.77872,0.00019,1.33609,0.01035,0,3.98e-05,3.98e-05,3.98e-05
200,1552.18,0.38204,0.04663,0.00016,0.11159,0.00712,0.00097,0.68065,0.97333,0.94556,0.82171,0.62238,0.89,0.83478,0.3307,0.63039,2.76497,0.00018,1.24983,0.01017,0,2.99e-05,2.99e-05,2.99e-05
