epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
26,204.618,0.74367,2.09758,0.00374,0.20917,0.01458,7.02987,0.99667,0.99717,0.995,0.88721,0.72749,0.72333,0.70214,0.20536,0.55681,3.39553,0.00226,0.15867,0.00905,0,0.0017525,0.0017525,0.0017525
27,212.332,0.71192,2.15405,0.00428,0.20618,0.01394,7.08012,1,0.98876,0.99493,0.81994,0.79473,0.81306,0.81456,0.25066,0.79826,3.18814,0.00214,0.20612,0.01302,0,0.0017426,0.0017426,0.0017426
28,220.096,0.69938,2.17367,0.00407,0.19488,0.01378,7.29497,1,0.99987,0.995,0.76653,0.85983,0.86333,0.876,0.28577,0.95707,3.06151,0.00202,0.23438,0.01631,0,0.0017327,0.0017327,0.0017327
29,227.745,0.71186,2.1353,0.00375,0.20088,0.01381,7.02709,0.99928,0.99667,0.995,0.86743,0.83244,0.83,0.8159,0.26049,0.6007,3.09421,0.0022,0.16352,0.01,0,0.0017228,0.0017228,0.0017228
30,235.402,0.70853,2.12531,0.00341,0.1963,0.01401,6.96654,1,0.98591,0.99487,0.83411,0.7508,0.75667,0.71459,0.21165,0.72533,3.25713,0.00206,0.19689,0.01177,0,0.0017129,0.0017129,0.0017129
31,243.116,0.69904,2.0706,0.00361,0.19023,0.01379,6.96353,0.99329,0.98634,0.9947,0.87146,0.72991,0.73868,0.73522,0.23437,0.59653,3.27426,0.00224,0.18414,0.0097,0,0.001703,0.001703,0.001703
32,250.751,0.71778,2.01365,0.00327,0.19704,0.01403,6.82637,0.99337,0.99819,0.99497,0.81455,0.72035,0.71,0.67688,0.21187,0.80162,3.33303,0.00168,0.20639,0.01397,0,0.0016931,0.0016931,0.0016931
33,258.428,0.70716,1.95993,0.00296,0.19227,0.0141,6.81875,0.99333,0.99293,0.9949,0.88129,0.69648,0.71902,0.61787,0.19532,0.56925,3.41258,0.00183,0.17589,0.0096,0,0.0016832,0.0016832,0.0016832
34,266.115,0.68455,1.92028,0.00264,0.18767,0.01346,6.76041,0.99338,0.99996,0.9949,0.87242,0.63908,0.63155,0.60515,0.18245,0.59632,3.64781,0.00123,0.16907,0.0099,0,0.0016733,0.0016733,0.0016733
35,273.739,0.68434,1.84942,0.00247,0.18197,0.01335,6.63649,0.98708,0.99667,0.99493,0.84586,0.63904,0.64323,0.57115,0.15184,0.66829,3.81865,0.00178,0.18217,0.01182,0,0.0016634,0.0016634,0.0016634
36,281.364,0.64868,1.82996,0.00241,0.17545,0.01261,6.58154,0.99055,0.99667,0.99487,0.87259,0.55677,0.55333,0.50339,0.14468,0.58712,4.05407,0.00135,0.16937,0.01002,0,0.0016535,0.0016535,0.0016535
37,289.1,0.65304,1.7631,0.00229,0.17935,0.01282,6.50711,0.99296,1,0.99493,0.84314,0.54605,0.55333,0.4392,0.14516,0.68196,4.0265,0.0016,0.18909,0.012,0,0.0016436,0.0016436,0.0016436
38,296.732,0.63274,1.80385,0.00286,0.17836,0.01242,6.81973,0.99001,0.99057,0.9946,0.89159,0.57334,0.57333,0.50385,0.16565,0.52535,3.89379,0.00242,0.16306,0.00872,0,0.0016337,0.0016337,0.0016337
39,304.457,0.64717,1.81259,0.00259,0.18566,0.01266,6.67067,0.99663,0.98471,0.99477,0.90018,0.6033,0.62,0.50059,0.17037,0.48845,3.69563,0.00199,0.15947,0.00796,0,0.0016238,0.0016238,0.0016238
40,312.195,0.64041,1.77791,0.00254,0.17399,0.01245,6.57954,0.99667,0.99634,0.99497,0.82836,0.61651,0.64305,0.59837,0.18329,0.75135,3.75716,0.00143,0.20428,0.01206,0,0.0016139,0.0016139,0.0016139
41,319.866,0.62505,1.72628,0.00219,0.18186,0.01222,6.44696,0.98672,0.9908,0.99473,0.80004,0.65194,0.65559,0.59109,0.18933,0.79691,3.59117,0.00152,0.22677,0.01215,0,0.001604,0.001604,0.001604
42,327.502,0.63567,1.74902,0.00191,0.17581,0.01273,6.47152,0.98248,0.98667,0.99421,0.85899,0.56723,0.6,0.49711,0.16149,0.64359,3.83774,0.00134,0.20192,0.01114,0,0.0015941,0.0015941,0.0015941
43,335.297,0.68135,1.81205,0.00187,0.18963,0.01314,6.46294,0.98674,0.99254,0.99473,0.82743,0.58807,0.60333,0.49444,0.15504,0.73259,3.82897,0.00129,0.20672,0.01144,0,0.0015842,0.0015842,0.0015842
44,342.972,0.65686,1.82404,0.00194,0.18637,0.01275,6.4648,0.99664,0.98858,0.99483,0.86956,0.60989,0.6,0.54299,0.15603,0.59637,3.8428,0.00197,0.17892,0.01026,0,0.0015743,0.0015743,0.0015743
45,350.655,0.66126,1.7725,0.00228,0.18037,0.01289,6.57496,0.99606,1,0.995,0.8908,0.57857,0.58333,0.46504,0.14983,0.52087,3.89883,0.00156,0.15337,0.0081,0,0.0015644,0.0015644,0.0015644
46,358.491,0.70638,1.66593,0.00236,0.19054,0.01365,6.37736,0.9886,0.99667,0.99477,0.86288,0.59308,0.60333,0.47978,0.16019,0.63319,3.84895,0.00137,0.19476,0.01047,0,0.0015545,0.0015545,0.0015545
47,366.294,0.67523,1.58345,0.00196,0.18128,0.01309,6.08758,0.99668,0.99949,0.995,0.86842,0.55198,0.55,0.46005,0.14718,0.62145,3.98618,0.00141,0.17431,0.01031,0,0.0015446,0.0015446,0.0015446
48,373.978,0.614,1.64776,0.00196,0.16538,0.01205,6.23527,1,0.99534,0.995,0.86726,0.57316,0.59667,0.47388,0.15231,0.60505,3.96007,0.0013,0.16949,0.01063,0,0.0015347,0.0015347,0.0015347
