epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,759.487,1.04186,0.72499,0.00813,0.95808,0.91425,0.94329,0.80028,0.69683,0.40426,0.00676,0.0011684,0.0011684,0.0011684
44,777.058,1.04463,0.72785,0.00814,0.95784,0.90884,0.95247,0.79763,0.73493,0.39549,0.00732,0.0011486,0.0011486,0.0011486
45,794.541,1.02418,0.70318,0.00796,0.95139,0.901,0.94719,0.79203,0.73307,0.38817,0.00712,0.0011288,0.0011288,0.0011288
46,812.051,1.02909,0.71823,0.00814,0.96216,0.905,0.94742,0.78554,0.75634,0.39984,0.00746,0.001109,0.001109,0.001109
47,829.597,1.02793,0.70661,0.00796,0.97092,0.90141,0.95206,0.79229,0.74069,0.39304,0.00736,0.0010892,0.0010892,0.0010892
48,847.095,1.01187,0.7139,0.00827,0.97813,0.89,0.95817,0.80313,0.72961,0.37767,0.00693,0.0010694,0.0010694,0.0010694
49,864.64,1.00602,0.67373,0.00784,0.96828,0.904,0.95111,0.77584,0.79988,0.40233,0.00762,0.0010496,0.0010496,0.0010496
50,882.14,0.99663,0.70227,0.00773,0.97729,0.9039,0.95498,0.77519,0.79001,0.39806,0.00733,0.0010298,0.0010298,0.0010298
51,899.679,1.00098,0.70216,0.00793,0.96324,0.91707,0.95565,0.79238,0.74305,0.36004,0.0071,0.00101,0.00101,0.00101
52,917.193,0.98689,0.66138,0.00759,0.95806,0.89089,0.94666,0.79572,0.69398,0.39868,0.00678,0.0009902,0.0009902,0.0009902
53,934.675,0.96758,0.68352,0.00756,0.96936,0.906,0.95699,0.82385,0.63929,0.35639,0.00619,0.0009704,0.0009704,0.0009704
54,952.26,0.98583,0.69842,0.00753,0.98599,0.902,0.95154,0.82275,0.63993,0.36107,0.00677,0.0009506,0.0009506,0.0009506
55,969.769,0.97288,0.67338,0.00736,0.97531,0.90855,0.95338,0.80247,0.7017,0.36624,0.00693,0.0009308,0.0009308,0.0009308
56,987.299,0.97827,0.68257,0.00747,0.96391,0.90816,0.9586,0.80901,0.67903,0.37285,0.00649,0.000911,0.000911,0.000911
