epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,577.468,1.05086,0.7138,1.1136,0.95911,0.89122,0.93864,0.77026,0.74436,0.48471,0.96814,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,595.87,1.03454,0.71031,1.10846,0.96599,0.892,0.93529,0.77,0.74349,0.4894,0.97086,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,614.122,1.02774,0.70303,1.10368,0.98392,0.885,0.93904,0.6955,1.03429,0.53338,1.0473,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,632.506,1.035,0.71138,1.11401,0.95132,0.904,0.9335,0.7362,0.85729,0.52482,0.99784,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,650.786,1.03036,0.6953,1.10632,0.96087,0.901,0.94517,0.77241,0.72247,0.47669,0.96007,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,669.183,1.02789,0.70061,1.10748,0.96835,0.88714,0.94059,0.78287,0.69595,0.46999,0.95448,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,687.589,1.00299,0.68367,1.08928,0.9622,0.918,0.94073,0.74302,0.86505,0.49468,0.98925,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,705.882,1.00675,0.68676,1.09292,0.98462,0.89634,0.93567,0.76896,0.75798,0.4605,0.97778,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,724.166,1.0076,0.69569,1.10675,0.98155,0.90458,0.93846,0.77078,0.728,0.45267,0.95981,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,742.57,1.01112,0.68484,1.10051,0.97849,0.9098,0.94903,0.77445,0.7435,0.44394,0.95238,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,760.823,1.00938,0.68906,1.10101,0.98344,0.906,0.94078,0.76616,0.78761,0.45266,0.97988,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,779.118,0.9853,0.66669,1.08883,0.98385,0.91374,0.95159,0.78072,0.70409,0.4318,0.95551,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,797.426,0.9956,0.67997,1.09761,0.98504,0.914,0.95213,0.78283,0.71534,0.43029,0.95055,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,815.755,0.99206,0.67165,1.08868,0.98279,0.919,0.95622,0.80005,0.67572,0.41978,0.93504,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,834.081,0.98489,0.6655,1.08479,0.98434,0.917,0.94653,0.78191,0.70663,0.43078,0.94063,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,852.457,0.98675,0.65799,1.09029,0.98683,0.89934,0.95007,0.79405,0.66715,0.41497,0.93524,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,870.731,0.99055,0.66207,1.08662,0.97915,0.89,0.94128,0.79336,0.67039,0.42929,0.9546,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
