epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,153.321,0.54704,2.99136,0.24549,0.38596,0.96196,0.99665,0.99584,0.99167,0.90526,0.89959,0.89892,0.84159,0.22851,0.42932,2.98304,0.0255,0.2927,0.85537,0.0014852,0.0014852,0.0014852
28,158.714,0.55094,2.97233,0.23861,0.38566,0.96536,0.99297,1,0.99392,0.92616,0.90329,0.9097,0.85251,0.22491,0.36752,2.98649,0.01176,0.28403,0.83204,0.0014654,0.0014654,0.0014654
29,164.092,0.52394,2.95586,0.24374,0.37943,0.95443,0.98341,0.99132,0.99483,0.91974,0.87075,0.87872,0.81418,0.21769,0.38245,3.02365,0.03155,0.39305,0.84438,0.0014456,0.0014456,0.0014456
30,169.442,0.52206,2.86923,0.23458,0.36212,0.94698,0.99292,0.99666,0.9949,0.94021,0.91323,0.92308,0.88213,0.26119,0.35449,2.92579,0.01957,0.24369,0.82219,0.0014258,0.0014258,0.0014258
31,174.852,0.51295,2.9215,0.23065,0.3691,0.95346,0.99667,0.99971,0.99497,0.93279,0.91999,0.92291,0.87066,0.23789,0.36498,2.97981,0.0137,0.2604,0.8241,0.001406,0.001406,0.001406
32,180.228,0.50671,2.88615,0.24233,0.35605,0.94428,0.99616,1,0.99497,0.92809,0.92286,0.92642,0.8974,0.25743,0.3705,2.90617,0.00893,0.25172,0.83139,0.0013862,0.0013862,0.0013862
33,185.617,0.50589,2.86005,0.24131,0.35672,0.9468,0.99585,1,0.995,0.92877,0.90258,0.90635,0.86856,0.26564,0.36721,2.8937,0.01531,0.23796,0.81954,0.0013664,0.0013664,0.0013664
34,190.971,0.50372,2.85955,0.24335,0.35716,0.94566,0.99554,0.99666,0.99487,0.93172,0.90594,0.90635,0.8561,0.27327,0.37231,2.86326,0.02902,0.25689,0.83916,0.0013466,0.0013466,0.0013466
35,196.365,0.50161,2.88399,0.23574,0.36408,0.94052,0.99316,1,0.99487,0.9457,0.93668,0.94314,0.92183,0.2885,0.3445,2.78078,0.02503,0.24492,0.81268,0.0013268,0.0013268,0.0013268
36,201.795,0.50007,2.82569,0.23743,0.33972,0.93963,0.99639,1,0.99387,0.94034,0.93306,0.93645,0.91695,0.30293,0.36663,2.78342,0.01249,0.23508,0.82738,0.001307,0.001307,0.001307
37,207.237,0.48931,2.88165,0.22343,0.34088,0.93125,0.99598,1,0.995,0.95266,0.93258,0.93645,0.89281,0.26652,0.33445,2.82201,0.01596,0.22048,0.80983,0.0012872,0.0012872,0.0012872
38,212.635,0.47898,2.83984,0.22989,0.34227,0.92913,0.99609,1,0.99497,0.94742,0.91945,0.92308,0.88616,0.27289,0.32028,2.78137,0.01203,0.21296,0.81321,0.0012674,0.0012674,0.0012674
39,218.007,0.46484,2.74784,0.23151,0.33222,0.92532,0.99795,1,0.995,0.94985,0.92118,0.92308,0.87761,0.27979,0.32647,2.77627,0.01517,0.22893,0.81325,0.0012476,0.0012476,0.0012476
40,223.4,0.47532,2.70148,0.23888,0.33534,0.92631,1,0.99995,0.995,0.94171,0.93866,0.9398,0.90215,0.28009,0.34194,2.76111,0.01873,0.22768,0.81971,0.0012278,0.0012278,0.0012278
41,228.816,0.46588,2.72518,0.23541,0.33203,0.92614,0.99653,1,0.995,0.94854,0.92318,0.92642,0.89735,0.28812,0.32936,2.83569,0.01933,0.21744,0.81553,0.001208,0.001208,0.001208
