epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.89139,1.71307,4.06032,0.6485,1.69932,1.94204,0.82679,0.71598,0.80997,0.28424,0.61055,0.51734,0.49075,0.08222,2.21345,4.03976,0.58841,1.34258,2.43693,0.000657778,0.000657778,0.000657778
2,14.3728,1.1877,2.91288,0.44442,0.68173,1.41661,0.67285,0.65131,0.71826,0.37301,0.43045,0.41667,0.28378,0.04401,1.5412,4.08143,0.36184,1.52473,1.54898,0.00131133,0.00131133,0.00131133
3,19.9129,1.16167,2.67905,0.2045,0.62494,1.38759,0.87578,0.75201,0.86851,0.43355,0.49136,0.56997,0.36328,0.06246,1.61851,4.03238,0.18446,1.04541,1.60877,0.00195169,0.00195169,0.00195169
4,25.2626,1.12518,2.58572,0.07998,0.6133,1.35514,0.92226,0.94902,0.96083,0.50434,0.61845,0.64,0.50634,0.11,1.51832,3.74876,0.04051,0.92526,1.55558,0.0019406,0.0019406,0.0019406
5,30.6347,1.05802,2.51525,0.04207,0.56777,1.30487,0.933,0.92838,0.97629,0.49583,0.7096,0.71676,0.58171,0.11982,1.65036,3.659,0.04352,0.92447,1.63153,0.0019208,0.0019208,0.0019208
6,36.111,0.98544,2.46685,0.02781,0.54401,1.25413,0.89363,0.9521,0.97311,0.58666,0.73,0.70295,0.65894,0.13434,1.41054,3.62735,0.01909,0.76005,1.44904,0.001901,0.001901,0.001901
7,41.5282,0.94683,2.45275,0.02043,0.5051,1.22654,0.92558,0.95333,0.98057,0.62042,0.74446,0.75744,0.66158,0.14469,1.20978,3.49539,0.02057,0.66643,1.28812,0.0018812,0.0018812,0.0018812
8,46.9359,0.94597,2.41501,0.01824,0.51525,1.21632,0.87005,0.94,0.96129,0.61984,0.71567,0.69,0.62521,0.14228,1.18876,3.53508,0.02279,0.72026,1.29047,0.0018614,0.0018614,0.0018614
9,52.405,0.92806,2.29319,0.01266,0.48431,1.21785,0.98338,0.98608,0.98889,0.49689,0.75358,0.75433,0.64617,0.14611,1.65984,3.34389,0.00816,0.71225,1.64679,0.0018416,0.0018416,0.0018416
10,57.7565,0.87608,2.27815,0.01134,0.4709,1.17925,0.92938,0.92128,0.96435,0.69416,0.75017,0.76069,0.69011,0.15291,1.02873,3.3784,0.01582,0.75162,1.19627,0.0018218,0.0018218,0.0018218
11,63.1449,0.87235,2.2545,0.01002,0.45773,1.17462,0.98605,0.96333,0.99289,0.73625,0.8029,0.76,0.74905,0.17674,0.91212,3.46737,0.0149,0.52078,1.13524,0.001802,0.001802,0.001802
12,68.6441,0.82233,2.10689,0.00823,0.4285,1.14073,0.98325,0.97844,0.99266,0.76668,0.74758,0.74,0.67394,0.15203,0.93117,3.54437,0.01572,0.54508,1.13996,0.0017822,0.0017822,0.0017822
13,74.0858,0.84286,2.03677,0.00802,0.43924,1.15073,0.96425,0.97,0.99239,0.72328,0.7324,0.73667,0.70704,0.18107,1.01307,3.60367,0.00519,0.55022,1.20341,0.0017624,0.0017624,0.0017624
14,79.4524,0.80875,1.86272,0.00561,0.41362,1.13051,0.87007,0.95667,0.97411,0.65774,0.58348,0.52,0.50163,0.11524,1.15456,4.12505,0.0088,0.64176,1.27528,0.0017426,0.0017426,0.0017426
15,84.9375,0.79114,1.76294,0.0069,0.40769,1.12062,0.90397,0.90997,0.96709,0.64065,0.61566,0.61333,0.49672,0.11981,1.20227,3.93275,0.00561,0.69514,1.31124,0.0017228,0.0017228,0.0017228
16,90.4228,0.788,1.50848,0.00601,0.39658,1.10922,0.96684,0.97188,0.98697,0.67218,0.58899,0.57667,0.48215,0.11744,1.0988,4.23674,0.00344,0.56166,1.20018,0.001703,0.001703,0.001703
17,95.9532,0.77278,1.48772,0.00668,0.39976,1.10566,0.95458,0.98088,0.98832,0.69586,0.60503,0.60667,0.5064,0.11942,1.09283,3.77924,0.00385,0.59633,1.27107,0.0016832,0.0016832,0.0016832
18,101.407,0.78385,1.40747,0.00469,0.39922,1.10855,0.9623,0.95333,0.99106,0.76783,0.6505,0.60333,0.54424,0.1212,0.88326,3.80477,0.0063,0.57537,1.1467,0.0016634,0.0016634,0.0016634
19,106.868,0.76875,1.38176,0.00449,0.3891,1.09869,0.96227,0.97667,0.99139,0.80077,0.70875,0.66514,0.65142,0.16759,0.7758,3.62144,0.00424,0.58379,1.08342,0.0016436,0.0016436,0.0016436
20,112.364,0.74612,1.35785,0.00462,0.38473,1.09213,0.98994,0.98378,0.9948,0.79376,0.72781,0.71333,0.70656,0.18843,0.82717,3.59915,0.00534,0.6462,1.10046,0.0016238,0.0016238,0.0016238
21,117.864,0.71721,1.36459,0.00371,0.37693,1.06894,0.95004,0.95083,0.98609,0.71592,0.69643,0.69333,0.66386,0.16212,1.07106,3.66546,0.00593,0.85582,1.24105,0.001604,0.001604,0.001604
22,123.235,0.74461,1.25256,0.00419,0.36908,1.08036,0.9608,0.98037,0.99296,0.82048,0.73017,0.74333,0.71193,0.19252,0.75729,3.58865,0.00588,0.59925,1.07663,0.0015842,0.0015842,0.0015842
