epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1192.36,0.63414,0.29473,1.01177,0.99977,1,0.995,0.86472,0.63932,0.28831,0.93965,0.0011684,0.0011684,0.0011684
44,1219.88,0.63692,0.29177,1.01213,1,0.99888,0.995,0.87812,0.58958,0.28191,0.92352,0.0011486,0.0011486,0.0011486
45,1247.43,0.63251,0.28892,1.00421,0.99766,0.999,0.99499,0.90066,0.50762,0.28172,0.90014,0.0011288,0.0011288,0.0011288
46,1275.01,0.62147,0.28414,0.99445,0.9998,0.997,0.995,0.92488,0.41269,0.25891,0.86149,0.001109,0.001109,0.001109
47,1302.89,0.6171,0.28252,0.99375,1,0.99759,0.995,0.91158,0.44933,0.26882,0.87583,0.0010892,0.0010892,0.0010892
48,1330.32,0.61214,0.27949,0.9897,0.995,0.997,0.99495,0.91007,0.46138,0.27572,0.88416,0.0010694,0.0010694,0.0010694
49,1357.79,0.60012,0.27437,0.98817,0.99601,0.99854,0.99499,0.90508,0.47538,0.27115,0.88649,0.0010496,0.0010496,0.0010496
50,1385.27,0.59112,0.27194,0.97883,0.99796,0.999,0.995,0.90825,0.47116,0.25772,0.87917,0.0010298,0.0010298,0.0010298
51,1412.7,0.58133,0.2705,0.97139,0.99749,0.998,0.995,0.92034,0.4318,0.24905,0.86487,0.00101,0.00101,0.00101
52,1440.11,0.56966,0.26607,0.9695,0.99784,0.999,0.995,0.93027,0.41113,0.2442,0.86181,0.0009902,0.0009902,0.0009902
53,1467.93,0.56628,0.26148,0.96598,0.99926,0.999,0.995,0.92033,0.43189,0.24066,0.8601,0.0009704,0.0009704,0.0009704
54,1495.44,0.57063,0.26097,0.96905,0.99892,0.999,0.995,0.90993,0.47115,0.24863,0.86773,0.0009506,0.0009506,0.0009506
55,1522.98,0.56514,0.25762,0.96013,0.99936,1,0.995,0.90325,0.49049,0.25514,0.88233,0.0009308,0.0009308,0.0009308
56,1550.45,0.55089,0.25687,0.95351,0.99888,0.999,0.995,0.93512,0.39636,0.24338,0.85483,0.000911,0.000911,0.000911
57,1578.57,0.54048,0.25117,0.95142,0.99992,0.999,0.995,0.916,0.44407,0.24821,0.86412,0.0008912,0.0008912,0.0008912
58,1606.08,0.53962,0.24821,0.94566,0.99687,0.999,0.995,0.90989,0.48327,0.24624,0.87734,0.0008714,0.0008714,0.0008714
59,1633.62,0.53525,0.24752,0.94555,0.999,0.99998,0.995,0.91707,0.44321,0.2388,0.86242,0.0008516,0.0008516,0.0008516
60,1661.12,0.53197,0.24805,0.94779,0.999,0.99844,0.995,0.90867,0.47527,0.24877,0.87476,0.0008318,0.0008318,0.0008318
61,1688.61,0.51991,0.24356,0.93748,0.99962,1,0.995,0.93314,0.3968,0.22444,0.84779,0.000812,0.000812,0.000812
62,1716.11,0.51866,0.24064,0.93796,1,0.99892,0.995,0.92785,0.40423,0.22777,0.85157,0.0007922,0.0007922,0.0007922
63,1743.59,0.51416,0.23778,0.93486,0.999,0.99985,0.995,0.94794,0.3537,0.21439,0.83611,0.0007724,0.0007724,0.0007724
64,1771.51,0.50619,0.23573,0.9346,0.999,0.997,0.995,0.93418,0.40092,0.23043,0.85059,0.0007526,0.0007526,0.0007526
65,1799.04,0.50981,0.23681,0.93368,1,0.99391,0.995,0.93576,0.39363,0.22551,0.8466,0.0007328,0.0007328,0.0007328
66,1826.57,0.49715,0.23082,0.92375,1,0.9969,0.995,0.9268,0.40821,0.22676,0.8502,0.000713,0.000713,0.000713
67,1854.08,0.49833,0.23163,0.9265,0.99944,0.999,0.995,0.92418,0.41715,0.22515,0.85368,0.0006932,0.0006932,0.0006932
