epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.07081,0.9233,4.58707,0.67683,1.14094,1.22509,0.9678,0.90333,0.97553,0.82053,0.66102,0.67602,0.57736,0.10748,0.67241,3.95715,0.56365,0.52404,0.97287,0.000657778,0.000657778,0.000657778
2,14.6641,0.65897,3.60097,0.58482,0.50124,1.00226,0.95053,0.97333,0.99112,0.86831,0.77035,0.73798,0.66235,0.13695,0.54433,3.68811,0.34461,1.08513,0.92052,0.00131133,0.00131133,0.00131133
3,20.1046,0.648,3.34481,0.48465,0.49344,1.00091,0.96437,0.94667,0.97096,0.81723,0.74624,0.72333,0.59274,0.10607,0.6022,3.65513,0.14046,1.06861,0.98664,0.00195169,0.00195169,0.00195169
4,25.4182,0.63925,3.22943,0.39202,0.4891,0.99349,1,0.99945,0.995,0.89571,0.77821,0.77667,0.66201,0.14026,0.47068,3.51087,0.08606,0.51478,0.87951,0.0019406,0.0019406,0.0019406
5,30.8573,0.59078,3.17776,0.34826,0.44228,0.96801,0.9982,1,0.995,0.90087,0.74865,0.75,0.59092,0.12026,0.45909,3.56512,0.06414,0.46725,0.86626,0.0019208,0.0019208,0.0019208
6,36.232,0.54705,3.15793,0.29105,0.42132,0.95277,1,0.99983,0.995,0.91092,0.75496,0.75333,0.66221,0.15026,0.41701,3.51401,0.03625,0.31721,0.87066,0.001901,0.001901,0.001901
7,41.6104,0.53233,3.05458,0.28066,0.41151,0.95493,0.99789,1,0.995,0.91771,0.76154,0.76333,0.65719,0.16526,0.40574,3.45595,0.02993,0.32838,0.84388,0.0018812,0.0018812,0.0018812
8,47.1616,0.51408,3.09045,0.26257,0.39253,0.94624,0.99972,1,0.995,0.91512,0.78023,0.77667,0.67408,0.15995,0.41504,3.47565,0.04146,0.29293,0.85736,0.0018614,0.0018614,0.0018614
9,52.56,0.5048,3.05758,0.25641,0.38185,0.9396,0.99971,1,0.995,0.93963,0.77075,0.77,0.63163,0.1521,0.36406,3.41476,0.02418,0.28186,0.83379,0.0018416,0.0018416,0.0018416
10,57.9746,0.48627,3.03866,0.22336,0.36958,0.92632,0.99793,1,0.995,0.95708,0.80282,0.80333,0.69437,0.15809,0.31415,3.3888,0.02564,0.27195,0.81458,0.0018218,0.0018218,0.0018218
11,63.3615,0.4629,2.97911,0.22954,0.36504,0.92589,0.99893,1,0.995,0.95013,0.78919,0.79,0.64156,0.14146,0.3155,3.44403,0.02056,0.29301,0.81303,0.001802,0.001802,0.001802
12,68.7083,0.46206,2.9773,0.22506,0.3593,0.9274,0.99503,1,0.99497,0.97299,0.78673,0.79,0.71149,0.16802,0.28113,3.37013,0.02202,0.29188,0.80293,0.0017822,0.0017822,0.0017822
13,74.1804,0.46168,2.96475,0.22835,0.35747,0.92316,0.9993,1,0.995,0.95744,0.78638,0.78667,0.69826,0.18311,0.31607,3.36158,0.01665,0.25597,0.82076,0.0017624,0.0017624,0.0017624
14,79.5629,0.44597,2.9066,0.21053,0.34581,0.90908,0.99961,1,0.995,0.95298,0.74828,0.74333,0.64342,0.17227,0.32549,3.39166,0.01522,0.26056,0.81248,0.0017426,0.0017426,0.0017426
15,85.0371,0.43506,2.96992,0.21183,0.33848,0.90235,0.99676,1,0.995,0.93607,0.81412,0.82,0.72588,0.18948,0.33033,3.31903,0.02982,0.27506,0.81045,0.0017228,0.0017228,0.0017228
16,90.4735,0.43921,2.71035,0.2227,0.34679,0.90631,0.99636,1,0.995,0.95251,0.83361,0.83667,0.73061,0.2536,0.3107,3.04888,0.02635,0.26508,0.80861,0.001703,0.001703,0.001703
17,95.9532,0.44025,2.72719,0.21169,0.34631,0.9111,0.9995,1,0.995,0.96288,0.83624,0.83667,0.74233,0.29241,0.2897,2.76215,0.0234,0.24562,0.80651,0.0016832,0.0016832,0.0016832
18,101.394,0.43948,2.56511,0.21522,0.34739,0.90823,0.99556,1,0.99497,0.95861,0.86343,0.86667,0.79443,0.34067,0.29521,2.50754,0.02155,0.25305,0.8072,0.0016634,0.0016634,0.0016634
19,106.868,0.44729,2.36081,0.22075,0.35306,0.9214,0.99668,0.99938,0.995,0.9414,0.80904,0.81,0.73159,0.3099,0.34083,2.74073,0.01663,0.29739,0.82762,0.0016436,0.0016436,0.0016436
20,112.302,0.42485,2.378,0.217,0.33287,0.90924,0.99545,0.99667,0.995,0.95181,0.85309,0.85333,0.78262,0.38518,0.32865,2.36785,0.01744,0.25829,0.81738,0.0016238,0.0016238,0.0016238
21,117.791,0.43019,2.27415,0.22227,0.32978,0.91282,0.99915,0.99667,0.995,0.93152,0.88884,0.88667,0.82198,0.3864,0.36779,2.09566,0.02799,0.27813,0.83087,0.001604,0.001604,0.001604
22,123.229,0.42417,2.10694,0.22084,0.33066,0.90102,1,0.99995,0.995,0.96926,0.90585,0.90333,0.84724,0.50458,0.28233,1.86762,0.03454,0.23803,0.79558,0.0015842,0.0015842,0.0015842
23,128.653,0.42384,1.98665,0.21276,0.32384,0.897,0.99059,1,0.99297,0.9643,0.89107,0.9,0.84393,0.48371,0.29104,1.78227,0.03187,0.24186,0.79968,0.0015644,0.0015644,0.0015644
24,134.123,0.41956,1.99313,0.21909,0.32203,0.90665,0.99971,1,0.995,0.96716,0.94639,0.94667,0.90083,0.54157,0.2932,1.54818,0.02702,0.24027,0.80357,0.0015446,0.0015446,0.0015446
25,139.635,0.40351,1.84577,0.21476,0.31519,0.89863,0.99406,1,0.9948,0.96898,0.95755,0.96333,0.9443,0.64093,0.2755,1.24174,0.02142,0.22491,0.80007,0.0015248,0.0015248,0.0015248
26,145.048,0.40999,1.8487,0.22918,0.32605,0.91063,0.99872,1,0.995,0.96839,0.95877,0.96,0.93482,0.64683,0.26742,1.21415,0.02525,0.22621,0.79588,0.001505,0.001505,0.001505
27,150.497,0.41107,1.71156,0.22187,0.32069,0.90301,0.99966,1,0.995,0.96611,0.95967,0.96,0.94298,0.68829,0.29448,1.11829,0.02723,0.24119,0.80903,0.0014852,0.0014852,0.0014852
28,155.941,0.41148,1.70733,0.22159,0.32369,0.90452,0.99899,1,0.995,0.97747,0.95237,0.95333,0.91972,0.62873,0.25955,1.23471,0.03394,0.2228,0.79643,0.0014654,0.0014654,0.0014654
29,161.33,0.39723,1.66996,0.21362,0.31331,0.89714,0.99744,1,0.995,0.96961,0.95412,0.95667,0.93571,0.67458,0.27991,1.1726,0.02355,0.2225,0.79915,0.0014456,0.0014456,0.0014456
30,166.772,0.39516,1.60794,0.21458,0.29779,0.88963,0.999,1,0.995,0.97302,0.96568,0.96667,0.95117,0.73398,0.2619,0.98151,0.02468,0.2148,0.79625,0.0014258,0.0014258,0.0014258
31,172.321,0.40033,1.5457,0.19882,0.30775,0.90292,0.99667,0.99862,0.995,0.96802,0.92285,0.92667,0.88859,0.6173,0.28892,1.35745,0.03757,0.25004,0.80211,0.001406,0.001406,0.001406
32,177.735,0.39546,1.50603,0.21114,0.30581,0.89581,0.99956,1,0.995,0.97538,0.97623,0.97667,0.96314,0.73349,0.24949,0.93886,0.03573,0.20934,0.79456,0.0013862,0.0013862,0.0013862
33,183.288,0.39433,1.43676,0.20138,0.3044,0.89598,0.99643,1,0.995,0.96939,0.96986,0.97333,0.96021,0.73379,0.27379,0.90622,0.02908,0.2337,0.80429,0.0013664,0.0013664,0.0013664
34,188.735,0.38783,1.49155,0.21899,0.30426,0.89633,0.99897,1,0.995,0.97348,0.96567,0.96667,0.93812,0.73556,0.26676,0.84485,0.02984,0.23139,0.79566,0.0013466,0.0013466,0.0013466
35,194.25,0.38565,1.44898,0.20591,0.30574,0.89639,0.99961,1,0.995,0.97619,0.9463,0.94667,0.90955,0.71318,0.25007,0.97003,0.02816,0.22068,0.7933,0.0013268,0.0013268,0.0013268
36,199.648,0.36926,1.44376,0.20446,0.2882,0.88234,0.99948,1,0.995,0.97652,0.96949,0.97,0.94309,0.7574,0.25363,0.82455,0.0257,0.20541,0.79166,0.001307,0.001307,0.001307
37,205.145,0.37797,1.35945,0.20121,0.29353,0.88647,0.99952,1,0.995,0.97745,0.95954,0.96,0.94493,0.78047,0.25883,0.84168,0.0323,0.20622,0.7989,0.0012872,0.0012872,0.0012872
38,210.602,0.37849,1.32278,0.20585,0.29245,0.88585,0.99977,1,0.995,0.97933,0.97311,0.97333,0.96273,0.79639,0.25844,0.76556,0.02883,0.20954,0.79563,0.0012674,0.0012674,0.0012674
39,216.106,0.37379,1.22429,0.20281,0.29622,0.88975,0.99974,1,0.995,0.98124,0.95975,0.96,0.93677,0.76239,0.24008,0.8748,0.03411,0.20063,0.78906,0.0012476,0.0012476,0.0012476
40,221.593,0.37935,1.18185,0.21199,0.29096,0.89246,0.99629,1,0.995,0.98654,0.95644,0.96,0.94948,0.79727,0.22572,0.8288,0.02644,0.1884,0.78462,0.0012278,0.0012278,0.0012278
41,227.11,0.3648,1.27926,0.204,0.28471,0.88029,0.99978,1,0.995,0.98856,0.97312,0.97333,0.956,0.78881,0.21418,0.76565,0.0216,0.18436,0.78003,0.001208,0.001208,0.001208
42,232.493,0.35492,1.25856,0.21358,0.27865,0.88721,0.99977,1,0.995,0.9838,0.97977,0.98,0.971,0.79272,0.24519,0.80781,0.02972,0.20151,0.78587,0.0011882,0.0011882,0.0011882
43,237.93,0.37121,1.27393,0.21454,0.28926,0.88867,0.99977,1,0.995,0.9889,0.97644,0.97667,0.96991,0.81128,0.22488,0.75285,0.02906,0.1866,0.78465,0.0011684,0.0011684,0.0011684
44,243.465,0.37421,1.20955,0.21416,0.28951,0.89101,0.99975,1,0.995,0.98181,0.97642,0.97667,0.9687,0.82265,0.24147,0.70859,0.02488,0.19675,0.78719,0.0011486,0.0011486,0.0011486
45,248.985,0.35699,1.16213,0.20813,0.27869,0.88065,0.9992,1,0.995,0.98788,0.96589,0.96667,0.93898,0.79211,0.20968,0.68725,0.02664,0.19219,0.77867,0.0011288,0.0011288,0.0011288
46,254.471,0.34828,1.16573,0.20237,0.27461,0.88218,0.99596,1,0.995,0.98857,0.96608,0.97,0.95362,0.83305,0.2078,0.66231,0.0248,0.19738,0.77717,0.001109,0.001109,0.001109
47,259.937,0.34214,1.09958,0.20708,0.27488,0.8762,0.99971,1,0.995,0.98868,0.98638,0.98667,0.97806,0.84816,0.21169,0.57622,0.03402,0.18768,0.78212,0.0010892,0.0010892,0.0010892
48,265.419,0.33917,1.14733,0.20416,0.26957,0.88195,0.99978,1,0.995,0.99004,0.97978,0.98,0.96873,0.83201,0.20112,0.60573,0.02482,0.17483,0.77549,0.0010694,0.0010694,0.0010694
49,270.803,0.33597,1.18401,0.20648,0.26658,0.87901,0.99968,1,0.995,0.98865,0.97301,0.97333,0.96754,0.84398,0.20092,0.63176,0.02411,0.17305,0.77706,0.0010496,0.0010496,0.0010496
50,276.209,0.33113,1.1076,0.20641,0.2674,0.87409,0.99978,1,0.995,0.98677,0.97645,0.97667,0.95735,0.82994,0.2042,0.57535,0.02394,0.18449,0.77879,0.0010298,0.0010298,0.0010298
51,281.659,0.34288,1.0614,0.20627,0.27231,0.88436,0.99975,1,0.995,0.9891,0.97309,0.97333,0.96375,0.85527,0.20319,0.60739,0.02487,0.17525,0.77829,0.00101,0.00101,0.00101
